timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348815.776329041,-8.4435224533,20.2401466370,1.7069640160,-0.1034457295,-0.0636080037,0.4991436272
1509348815.876401901,-8.4886808395,20.3551616669,1.6862822771,-0.0890018179,-0.0514421779,0.5038057494
1509348815.976489067,-8.5651330948,20.4546699524,1.7381678820,-0.0904918312,-0.0337299463,0.5165346478
1509348816.076582909,-8.6532106400,20.5839519501,1.7247333527,-0.0938112679,-0.0513228415,0.5252286232
1509348816.176652908,-8.7570104599,20.6705188751,1.7384036779,-0.0903934772,-0.0700845089,0.5160244820
1509348816.276844025,-8.8556213379,20.7898159027,1.6899944544,-0.0932611968,-0.0777168412,0.4983417302
1509348816.376753092,-8.9839658737,20.8200740814,1.6179230213,-0.0652633579,-0.0933127417,0.4629926264
1509348816.477488041,-9.0572986603,20.9420986176,1.7377766371,-0.0424658651,-0.1101166523,0.4161606428
1509348816.576922894,-9.1276063919,21.0544281006,1.7948411703,-0.0659882932,-0.1077115894,0.3782376130
1509348816.677009106,-9.1811990738,21.2274131775,1.7711290121,-0.0939869594,-0.0945309458,0.3481610014
1509348816.777200937,-9.2630224228,21.3478889465,1.7416530848,-0.1132365311,-0.0799505974,0.3109944289
1509348816.877232075,-9.2672567368,21.4930629730,1.6551026106,-0.1090375443,-0.0574080177,0.2677031791
1509348817.077492952,-9.3658561707,21.7130603790,1.7427569628,-0.0838066592,-0.0209749768,0.2050329480
1509348817.177516937,-9.4034833908,21.8758926392,1.7477575541,-0.0808756778,-0.0266864359,0.1785892140
1509348817.277560949,-9.4408769608,22.0038394928,1.7642385960,-0.0956606224,-0.0162830328,0.1567153156
1509348817.377679110,-9.4644184113,22.1578330994,1.6840901375,-0.1049734094,-0.0150877689,0.1501765636
1509348817.477936983,-9.5410041809,22.2659740448,1.6378690004,-0.0612359593,-0.0317638880,0.1582502316
1509348817.577925920,-9.6080589294,22.3972816467,1.7940806150,-0.0440511180,-0.0565001899,0.1515666514
1509348817.678035021,-9.6517934799,22.5253639221,1.8445973396,-0.0828266592,-0.0722709896,0.1492657734
1509348817.778049946,-9.6689157486,22.6891117096,1.7797394991,-0.1168641611,-0.0612061507,0.1605141294
1509348817.878216982,-9.6919107437,22.8255348206,1.7072007656,-0.1218634238,-0.0463962542,0.1728184645
1509348817.978171110,-9.7104701996,22.9654922485,1.6493595839,-0.0943270941,-0.0330531431,0.1824699883
1509348818.078309059,-9.7088174820,23.0841960907,1.7306610346,-0.0727905627,-0.0302453107,0.1977232185
1509348818.178395033,-9.7336072922,23.2477378845,1.7729505301,-0.0786452395,-0.0430381311,0.2452909785
1509348818.278439045,-9.8146238327,23.3586997986,1.7843946218,-0.0836144456,-0.0531031325,0.2894195293
1509348818.378484964,-9.8965978622,23.4642238617,1.7725564241,-0.1036352660,-0.0557300694,0.3096748902
1509348818.478693008,-9.9646692276,23.6074943542,1.6482268572,-0.0923344507,-0.0656635890,0.3281689203
1509348818.578728914,-10.0817184448,23.6976642609,1.6887549162,-0.0385774572,-0.0933734726,0.3297872328
1509348818.678750038,-10.1365747452,23.8332805634,1.8341718912,-0.0467793084,-0.1160015137,0.3287980979
1509348818.778851032,-10.1760797501,23.9632015228,1.8427685499,-0.0865026281,-0.1249991602,0.3413554891
1509348818.878933907,-10.2224407196,24.1134185791,1.7979902029,-0.1172791154,-0.1100817951,0.3641178920
1509348818.979063034,-10.2604675293,24.2742557526,1.7411248684,-0.1340425538,-0.0809520868,0.3779837319
1509348819.079185009,-10.2774381638,24.4260406494,1.6908805370,-0.1239848132,-0.0411190652,0.3760607347
1509348819.179243088,-10.3367404938,24.5479907990,1.7739431858,-0.1258682628,-0.0084444135,0.3655991318
1509348819.279334068,-10.3491764069,24.7178916931,1.8037263155,-0.1474030865,-0.0173646081,0.3715145319
1509348819.379371881,-10.4238281250,24.8498859406,1.7837368250,-0.1548421900,-0.0324032734,0.3707114692
1509348819.479542017,-10.5018024445,25.0071220398,1.7399860620,-0.1588822492,-0.0415895318,0.3507580619
1509348819.579613924,-10.5785894394,25.1356887817,1.6720705032,-0.1398960009,-0.0658461863,0.3223167636
1509348819.679678917,-10.6815805435,25.2536029816,1.7105102539,-0.1031982681,-0.1042371445,0.2744369017
1509348819.779778957,-10.6629962921,25.3968582153,1.7861243486,-0.0897160610,-0.1203690357,0.2318181724
1509348819.879832029,-10.6593608856,25.5609283447,1.8173444271,-0.1060184908,-0.1099504469,0.2160483731
1509348819.979899883,-10.6855211258,25.7357406616,1.7811878920,-0.1343699887,-0.0952835579,0.2087596777
1509348820.079991102,-10.7036066055,25.8859729767,1.6734949350,-0.1254818572,-0.0822709093,0.1886172704
1509348820.180026054,-10.6614847183,26.0222930908,1.7074971199,-0.0870134699,-0.0587312179,0.1785957880
1509348820.380258083,-10.7002029419,26.3025474548,1.7922978401,-0.1156390838,-0.0655989478,0.1871407623
1509348820.480362892,-10.7519416809,26.4885215759,1.7870168686,-0.1367235039,-0.0728621095,0.1776584848
1509348820.580374002,-10.7822380066,26.6508121490,1.7140781879,-0.1585861106,-0.0815450265,0.1667950368
1509348820.680480957,-10.9351167679,26.8115310669,1.6584680080,-0.1359894755,-0.1143020186,0.1213300734
1509348820.780592918,-10.8765439987,26.9340610504,1.7728501558,-0.1103819078,-0.1325328149,0.0747569205
1509348820.880687952,-10.8231582642,27.0738849640,1.8534154892,-0.1310607392,-0.1155079479,0.0704761630
1509348820.980778933,-10.8031940460,27.2540397644,1.8359621763,-0.1856681982,-0.0830649720,0.0837728195
1509348821.080862045,-10.8095092773,27.4278964996,1.7094491720,-0.2054194186,-0.0586463205,0.0845400655
1509348821.180910110,-10.8078451157,27.5179805756,1.6566103697,-0.1602296483,-0.0418071528,0.0739296601
1509348821.280992031,-10.7308855057,27.6550045013,1.7251822948,-0.1228903354,-0.0274858637,0.0872729235
1509348821.381176949,-10.7382307053,27.8255252838,1.7556152344,-0.1368356765,-0.0387090893,0.1130086928
1509348821.481174946,-10.8336849213,28.0150337219,1.7118440866,-0.1353849366,-0.0556660834,0.1078631254
1509348821.581291914,-10.8341121674,28.1570587158,1.6553859711,-0.1129461461,-0.0755114437,0.0801318895
1509348821.681338072,-10.9076204300,28.3113403320,1.5800638199,-0.0717252710,-0.1001327765,0.0533259788
1509348821.781455994,-10.9142951965,28.4356784821,1.6657549143,-0.0171227561,-0.1154006678,0.0070619104
1509348821.881582975,-10.8701858521,28.5157318115,1.7630007267,-0.0018575253,-0.0979721530,-0.0096411502
1509348821.981615067,-10.8281984329,28.6680603027,1.7764470577,-0.0141033642,-0.0701459317,0.0048747061
1509348822.081708908,-10.8338499069,28.8260116577,1.7285443544,-0.0364663941,-0.0554344917,0.0154892800
1509348822.181798935,-10.8336687088,28.9669685364,1.6428272724,-0.0209516739,-0.0399660338,0.0242696760
1509348822.281876087,-10.7875432968,29.0974693298,1.7081576586,0.0023823696,-0.0188170844,0.0445731664
1509348822.381962061,-10.7832145691,29.1907176971,1.7390253544,-0.0190668977,-0.0230473790,0.0729178514
1509348822.482019901,-10.8591699600,29.4480724335,1.7320805788,-0.0406054933,-0.0437285927,0.0938203565
1509348822.582150936,-10.8821907043,29.5709476471,1.6911147833,-0.0512617823,-0.0558110101,0.0933102595
1509348822.682271004,-10.9619131088,29.7746276855,1.5736246109,-0.0310899918,-0.0720233487,0.0916197349
1509348822.782346964,-11.0270709991,29.9102439880,1.6262606382,0.0270786749,-0.1110220990,0.0593960656
1509348822.882492065,-11.0448560715,30.0281085968,1.7487603426,0.0289544166,-0.1271063028,0.0389457751
1509348822.982551098,-10.9985408783,30.1003608704,1.7753680944,-0.0021161737,-0.1215953567,0.0430597534
1509348823.082577944,-11.0219411850,30.3048744202,1.7368226051,-0.0282186121,-0.1060149106,0.0540443953
1509348823.182729959,-11.0709819794,30.5180072784,1.6757962704,-0.0360069130,-0.0823147756,0.0404909875
1509348823.282676935,-11.0013790131,30.5391674042,1.6649664640,-0.0135643384,-0.0492352423,0.0208396426
1509348823.382822037,-10.9872064590,30.6839199066,1.7330214977,-0.0126532617,-0.0383217517,0.0197888084
1509348823.583008051,-11.0859308243,31.0739040375,1.7247507572,-0.0635129170,-0.0681824058,0.0114458813
1509348823.683087111,-11.0786647797,31.1823825836,1.6658678055,-0.0777494255,-0.0823553676,-0.0029870537
1509348823.783126116,-11.1204748154,31.3297119141,1.6013476849,-0.0655177557,-0.0974463315,-0.0058147853
1509348823.883203030,-11.1334896088,31.4436378479,1.6638630629,-0.0381939210,-0.1162936260,-0.0248638188
1509348823.983409882,-11.1084280014,31.5379295349,1.7672728300,-0.0385551702,-0.1115118770,-0.0240236665
1509348824.083424091,-11.0324335098,31.5936660767,1.7808375359,-0.0655502086,-0.0833930882,0.0015743287
1509348824.183547020,-11.0620298386,31.8355655670,1.7090864182,-0.0876788466,-0.0572438972,0.0392223294
1509348824.283773899,-11.1904230118,32.0671310425,1.6218855381,-0.0745488959,-0.0403120978,0.0274224891
1509348824.383661032,-11.0641393661,32.1039237976,1.6713259220,-0.0437651112,-0.0219063785,0.0109843824
1509348824.483762026,-10.9938402176,32.1616020203,1.7608178854,-0.0514158500,-0.0059790118,0.0240891938
1509348824.583919048,-11.0252275467,32.3680267334,1.7494755983,-0.0924868144,-0.0044022682,0.0799211499
1509348824.683960915,-11.1601428986,32.5861473083,1.6832964420,-0.1143216321,-0.0191328358,0.0885749482
1509348824.784039974,-11.1858091354,32.7108268738,1.5892561674,-0.1050855374,-0.0477725174,0.0844535222
1509348824.884059906,-11.2967166901,32.8769302368,1.5667991638,-0.0539794376,-0.0731217496,0.0656986257
1509348824.984133005,-11.2982769012,33.0311927795,1.7200202942,-0.0299537621,-0.0822334243,0.0372080523
1509348825.084230900,-11.2564468384,33.1393318176,1.7728668451,-0.0489298592,-0.0674603580,0.0158310621
1509348825.284420013,-11.2262964249,33.4115180969,1.6295295954,-0.0635452121,-0.0234705132,0.0143988677
